gen,ind,lap,time_s,A,B,C
cma4_gen1,1,2,140.214,26.1821,1.3990,228.3118,1.9140,0.00474
cma4_gen1,2,1,151.704,24.9943,1.5971,206.8354,1.7739,0.00427
cma4_gen1,2,2,146.460,24.9943,1.5971,206.8354,1.7739,0.00427
cma4_gen1,2,3,146.662,24.9943,1.5971,206.8354,1.7739,0.00427
cma4_gen1,2,4,145.980,24.9943,1.5971,206.8354,1.7739,0.00427
cma4_gen1,3,1,142.566,27.0108,1.5034,207.1479,1.7542,0.00531
cma4_gen1,3,2,137.860,27.0108,1.5034,207.1479,1.7542,0.00531
cma4_gen1,3,3,137.884,27.0108,1.5034,207.1479,1.7542,0.00531
cma4_gen1,3,4,137.680,27.0108,1.5034,207.1479,1.7542,0.00531
cma4_gen1,4,1,134.726,25.5960,1.6181,220.2316,1.7502,0.00648
cma4_gen1,4,2,130.390,25.5960,1.6181,220.2316,1.7502,0.00648
cma4_gen1,4,3,130.074,25.5960,1.6181,220.2316,1.7502,0.00648
cma4_gen1,4,4,130.852,25.5960,1.6181,220.2316,1.7502,0.00648
cma4_gen1,5,1,141.516,25.8338,1.6321,208.6267,1.7317,0.00540
cma4_gen1,5,2,137.050,25.8338,1.6321,208.6267,1.7317,0.00540
cma4_gen1,5,3,136.736,25.8338,1.6321,208.6267,1.7317,0.00540
cma4_gen1,5,4,136.436,25.8338,1.6321,208.6267,1.7317,0.00540
cma4_gen1,6,1,157.186,26.3691,1.4396,201.1924,1.7162,0.00346
cma4_gen1,6,2,150.798,26.3691,1.4396,201.1924,1.7162,0.00346
cma4_gen1,6,3,150.740,26.3691,1.4396,201.1924,1.7162,0.00346
cma4_gen1,6,4,243.664,26.3691,1.4396,201.1924,1.7162,0.00346
cma4_gen1,7,1,136.192,26.4429,1.5634,215.6044,1.9805,0.00531
cma4_gen1,7,2,130.354,26.4429,1.5634,215.6044,1.9805,0.00531
cma4_gen1,7,3,131.034,26.4429,1.5634,215.6044,1.9805,0.00531
cma4_gen1,7,4,131.866,26.4429,1.5634,215.6044,1.9805,0.00531
cma4_gen2,1,1,129.966,25.6473,1.4830,215.7665,1.9568,0.00771
cma4_gen2,1,2,127.584,25.6473,1.4830,215.7665,1.9568,0.00771
cma4_gen2,1,3,127.632,25.6473,1.4830,215.7665,1.9568,0.00771
cma4_gen2,1,4,127.832,25.6473,1.4830,215.7665,1.9568,0.00771
cma4_gen2,2,1,139.986,25.8729,1.7077,213.7639,1.8366,0.00512
cma4_gen2,2,2,136.116,25.8729,1.7077,213.7639,1.8366,0.00512
cma4_gen2,2,3,135.152,25.8729,1.7077,213.7639,1.8366,0.00512
cma4_gen2,2,4,134.980,25.8729,1.7077,213.7639,1.8366,0.00512
cma4_gen2,3,1,136.480,26.5202,1.5945,225.1743,1.8431,0.00649
cma4_gen2,3,2,129.530,26.5202,1.5945,225.1743,1.8431,0.00649
cma4_gen2,3,3,127.980,26.5202,1.5945,225.1743,1.8431,0.00649
cma4_gen2,3,4,132.916,26.5202,1.5945,225.1743,1.8431,0.00649
cma4_gen2,4,1,141.422,25.2633,1.5604,205.3897,1.7445,0.00552
cma4_gen2,4,2,136.422,25.2633,1.5604,205.3897,1.7445,0.00552
cma4_gen2,4,3,136.362,25.2633,1.5604,205.3897,1.7445,0.00552
cma4_gen2,4,4,136.460,25.2633,1.5604,205.3897,1.7445,0.00552
cma4_gen2,6,1,132.202,26.3239,1.7414,222.7558,1.9224,0.00705
cma4_gen2,6,2,215.918,26.3239,1.7414,222.7558,1.9224,0.00705
cma4_gen2,6,3,234.072,26.3239,1.7414,222.7558,1.9224,0.00705
cma4_gen2,6,4,239.708,26.3239,1.7414,222.7558,1.9224,0.00705
cma4_gen2,7,1,136.114,26.4197,1.5249,223.7033,1.8770,0.00554
cma4_gen2,7,2,131.986,26.4197,1.5249,223.7033,1.8770,0.00554
cma4_gen2,7,3,131.908,26.4197,1.5249,223.7033,1.8770,0.00554
cma4_gen2,7,4,132.022,26.4197,1.5249,223.7033,1.8770,0.00554
cma4_gen3,1,1,132.516,27.5167,1.5281,180.8767,2.0704,0.00712
cma4_gen3,1,2,129.204,27.5167,1.5281,180.8767,2.0704,0.00712
cma4_gen3,1,3,129.028,27.5167,1.5281,180.8767,2.0704,0.00712
